,roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
263,0.60692,3.1311,4.5503,0.37802,1.0801,0.7374,1.2007,1.9523,0.17002,0.000171,0.000705,1.1e-05,0.0,0.0,0.0,59.471,54.944,7.7573,16.555,18.817,13.852,0.8641200000000001,0.45912,2.234,6.776,5.2465,8.4385,0.14645999999999998,0.99113,0.28397,0.93021
264,0.68153,3.1804,4.294,0.33906,1.063,0.7532,1.1365,1.8625,0.16627,0.000103,0.000424,3e-06,0.0,0.0,0.0,65.043,50.591,6.7166,14.811,20.077,12.554,1.2266,0.42918,2.3605,7.9422,5.0304,9.2489,0.15728,0.99012,0.27196,0.92458
265,0.67004,3.0438,4.3307,0.4093,1.096,0.75176,1.1784,1.8755,0.16697,0.000233,0.0005809999999999999,1.1e-05,0.0,0.0,0.0,61.415,55.07,7.5996,16.477999999999998,19.698,13.771,0.82395,0.38993,2.1781,6.386,4.7954,7.8820000000000014,0.16416,0.98975,0.26283,0.92101
266,0.66852,3.2047,4.3356,0.27818000000000004,1.0411,0.7592300000000001,1.1553,1.8885,0.16477,4.4e-05,0.000372,2e-06,0.0,0.0,0.0,63.338,57.047,13.859000000000002,16.298,19.453,17.439,0.75452,0.30939,1.2199,5.4325,4.3689,3.8136,0.16422,0.98928,0.24338,0.92091
267,0.5252600000000001,3.3115,4.8912,0.56831,1.2153,0.74788,1.1587,2.1049,0.17033,0.001076,0.000585,2e-05,0.0,0.0,0.0,59.602,51.684,1.5333,17.715,21.077,6.9067,0.98509,0.43014,6.1272,6.6478,4.7624,48.923,0.1664,0.98976,0.26275,0.92031
268,0.71195,3.1055,4.2013,0.41683,1.1001,0.76588,1.1288,1.8363,0.16395,0.000243,0.000297,2e-06,0.0,0.0,0.0,66.375,53.128,8.8085,15.908,20.952,15.117,0.90392,0.22447,1.9736,6.2625,4.1748,6.6292,0.18452,0.98731,0.22962,0.91127
269,0.5746399999999999,3.0980000000000003,4.6763,0.50321,1.1572,0.73339,1.2017,1.9971,0.17226,0.000624,0.000958,2.2e-05,0.0,1e-06,0.0,64.668,52.24100000000001,10.462,15.693,20.808000000000003,15.892,1.0923,0.4768600000000001,1.7885,7.2077,4.6677,6.0069,0.15800999999999998,0.99039,0.26471,0.92428
270,0.71715,3.0101,4.186,0.33585,1.0617,0.7572300000000001,1.1745,1.8205,0.16537000000000002,9.8e-05,0.000433,4e-06,0.0,0.0,0.0,65.04,64.515,15.794,17.17,18.216,19.593,0.51886,0.31083,1.189,5.1370000000000005,4.4682,3.6727,0.16309,0.98858,0.23435,0.92122
271,0.58428,2.7494,4.6376,0.66071,1.3322,0.7229300000000001,1.2426,1.9515,0.18007,0.0025280000000000003,0.00137,0.000103,0.0,5e-06,0.0,83.48700000000002,89.465,7.2375,19.511,19.126,16.714000000000002,0.12571,0.052447,2.5477,3.023,2.8389,9.0777,0.14484,0.98807,0.25013,0.92905
272,0.68329,3.1715,4.2885,0.24927,1.0326,0.7582399999999999,1.1587,1.8669,0.16494,2.8000000000000006e-05,0.00034500000000000004,1e-06,0.0,0.0,0.0,64.863,53.151,5.901,15.316,19.458,12.332,0.99038,0.46059,2.7097,7.3237,5.1219,11.255,0.14539000000000002,0.99092,0.27912,0.92972
273,0.63029,3.0587,4.4651,0.436,1.1112,0.74375,1.1943,1.9227,0.16899999999999998,0.000315,0.0007379999999999999,1.9e-05,0.0,0.0,0.0,63.40600000000001,50.04600000000001,5.3673,16.053,21.258000000000006,12.128,0.8438399999999999,0.32105,2.9148,5.6869,4.1917,12.582,0.14015,0.99169,0.2706,0.932
274,0.69748,2.7419,4.2446,0.5454399999999999,1.1931,0.7356699999999999,1.2156,1.8133,0.17257,0.000909,0.0008609999999999999,4e-05,0.0,1e-06,0.0,73.804,71.885,4.1543,17.367,20.224,11.92,0.060823,-0.23281,3.3909,3.3268,3.2496,15.091,0.13908,0.9903,0.24886,0.93245
275,0.72392,3.0674,4.1664,0.3216,1.0561,0.7542399999999999,1.1479,1.8085,0.16598,8.2e-05,0.000461,3e-06,0.0,0.0,0.0,67.482,60.047,12.908,13.942,17.174,15.827,1.1374,0.5092,1.2624,7.0253,5.3709,4.1530000000000005,0.20121,0.98258,0.24754,0.90418
276,0.69655,2.637,4.2475,0.74093,1.489,0.7753,1.1622,1.8335,0.17417,0.004342,0.0,0.0,0.0,0.0,0.0,64.913,58.624,18.158,17.355999999999998,19.095,21.039,0.74212,0.29024,1.0668,5.3093,4.3226,3.4079,0.17103,0.98859,0.2446,0.92191
277,0.83624,2.5274,3.8765,0.74603,1.5017,0.77941,1.105,1.6764,0.17382,0.004492,1e-06,0.0,0.0,0.0,0.0,64.54899999999999,56.038,28.493,15.928,18.684,21.244,0.91909,0.3197,0.4170100000000001,5.8237,4.1808,2.6244,0.19255,0.98585,0.23107,0.91074
278,0.68042,2.766,4.2975,0.72668,1.4557,0.77568,1.1341,1.8596,0.17264000000000002,0.003836,4e-06,0.0,0.0,0.0,0.0,67.848,64.12,15.704,16.602999999999998,17.118,19.919,1.0881,0.7053699999999999,1.3043,6.5018,5.5028,4.1832,0.17686,0.98743,0.24922,0.91964
279,0.75793,2.49,4.0718,0.78709,1.6212,0.7688,1.1261,1.7343,0.18194,0.006666,4.9e-05,6e-06,0.0,0.0,0.0,69.007,58.538,12.674,17.264,19.876,20.281,0.93143,0.48571,1.7539,5.3845,4.5381,5.7810000000000015,0.18583,0.98702,0.24909,0.91827
280,0.8186100000000001,2.6857,3.918,0.64949,1.3152,0.76715,1.1142,1.6999,0.16909000000000002,0.002043,2.6e-05,1e-06,0.0,0.0,0.0,77.638,64.361,27.557,18.958,21.978,26.126,0.51134,0.13460999999999998,0.62058,4.1403,3.7626,2.5069,0.22539,0.98271,0.20171,0.9034
281,0.7640600000000001,2.4964,4.0555,0.76648,1.557,0.77507,1.1462,1.7423,0.17734,0.005441,0.0,0.0,0.0,0.0,0.0,75.005,59.274,11.164,15.974,19.333,18.626,0.77285,0.36162,1.8391,5.0095,4.3805,6.0908,0.1889,0.98713,0.24622,0.91761
282,0.8298700000000001,2.5531,3.8913,0.7520899999999999,1.5173,0.77869,1.0919,1.6803,0.17468,0.004745,3e-06,0.0,0.0,0.0,0.0,62.285,51.667,17.269000000000002,16.165,20.317,20.236,1.0047,0.2569,1.1587,6.0929,4.084,3.9021,0.21804,0.98496,0.22879,0.90231
283,0.82114,2.6345,3.912,0.72165,1.4446,0.77859,1.0902,1.6971,0.17153,0.003647,3.4e-05,1e-06,0.0,0.0,0.0,62.5,47.587,20.731,15.744000000000002,21.129,19.77,1.0388,0.33519,0.75634,6.3815,4.0056,2.9854,0.24469,0.9834,0.21335,0.88923
284,0.74155,2.6839,4.1166,0.70552,1.4111,0.77774,1.1387,1.7886,0.17035,0.003186,1.2e-05,0.0,0.0,0.0,0.0,73.734,65.866,23.39,17.158,18.583,23.752,0.60617,0.30427,0.687,4.5738,4.0678,2.4491,0.17049,0.98746,0.23076,0.9224
285,0.8252799999999999,2.5598,3.9021,0.7429399999999999,1.494,0.77567,1.0984,1.6843,0.17431,0.004415,2.5e-05,1e-06,0.0,0.0,0.0,66.78,56.577,16.537,17.590999999999998,20.517,20.913,0.8505799999999999,0.25184,1.2288,5.3106,4.2132,3.9385,0.21578000000000006,0.98408,0.21947,0.90379
286,0.6928300000000001,2.639,4.2589,0.7665,1.557,0.77361,1.1375,1.828,0.17768,0.005462,2e-06,0.0,0.0,0.0,0.0,74.37100000000002,65.525,24.921,18.479,21.012,25.748,0.59928,0.036829,0.75085,4.0774,3.7784,2.5946,0.20409,0.9842,0.20591,0.90824
287,0.7471,2.634,4.1012,0.7414,1.4902,0.77474,1.1227,1.7696,0.17435,0.004366,7.000000000000002e-06,1e-06,0.0,0.0,0.0,69.047,59.593,11.403,17.639,20.169,18.987,0.5854,0.14748,1.7752,4.5105,3.9509,5.78,0.19157,0.98649,0.23291,0.91575
288,0.77718,2.6447,4.0211,0.69567,1.3921,0.7751600000000001,1.1346,1.7462,0.17015999999999998,0.002951,4e-06,0.0,0.0,0.0,0.0,70.45,65.383,29.44,19.606,20.543000000000006,25.981,0.3276,0.061567,0.41962,3.989,3.6267,2.1135,0.16764,0.98776,0.22048,0.92277
289,0.65433,2.5745,4.3823,0.7986800000000001,1.6618,0.77289,1.1609,1.8659,0.18304,0.007348,2.9e-05,4e-06,0.0,0.0,0.0,72.35300000000002,68.51899999999999,30.567,18.474,19.05,24.834,0.68504,0.35946,0.4286,4.9931,4.4608,2.343,0.18432,0.98644,0.22494,0.91753
290,0.7463,2.6157,4.1034,0.72855,1.4599,0.77642,1.144,1.776,0.17265999999999998,0.003891,2e-06,0.0,0.0,0.0,0.0,70.005,59.355,26.868,17.8,20.688,23.785,0.71104,0.20105,0.5353399999999999,5.2695,4.2197,2.4093,0.1854,0.98697,0.22186,0.91592
291,0.74437,2.5766,4.1088,0.74739,1.5052,0.77674,1.1455,1.7734,0.17457,0.004577,7.000000000000002e-06,0.0,0.0,0.0,0.0,68.65100000000001,59.076,15.746,16.247,18.731,20.48,0.8542700000000001,0.35561,1.2819999999999998,5.4159,4.4058,3.9458,0.16562000000000002,0.98867,0.2515,0.92511
292,0.73583,2.5923,4.1325,0.74233,1.4925,0.7747,1.1485,1.7828,0.17446,0.0044020000000000005,1.2e-05,0.0,0.0,0.0,0.0,70.839,64.672,26.387,16.614,18.136,22.596,0.70331,0.29909,0.5494,5.3818,4.6251,2.5405,0.16598,0.98804,0.23275,0.92294
293,0.7439100000000001,2.592,4.11,0.74583,1.5012,0.77609,1.1401,1.7737,0.17454,0.004522,5e-06,0.0,0.0,0.0,0.0,72.429,64.313,22.188,16.774,18.526,23.224,0.81565,0.31661,0.8495,5.2372,4.3396,2.8965,0.18331,0.98664,0.23015,0.91667
294,0.8012199999999999,2.5398,3.9603,0.78204,1.6045,0.76565,1.0771,1.6853,0.18185,0.006417,1.6e-05,1e-06,0.0,0.0,0.0,70.17399999999999,59.59,17.048,19.433,21.843000000000004,22.241,0.66161,0.25916,1.2285,4.4556,3.9217,3.9511,0.27301,0.97719,0.19258,0.8882
295,0.70211,2.7311,4.2306,0.73235,1.4686,0.7754,1.1256,1.8288,0.17326,0.004031,1e-05,1e-06,0.0,0.0,0.0,68.64,61.67,21.61,18.522,19.921,23.074,0.5925699999999999,0.17589000000000002,0.81794,5.25,4.393,2.7433,0.18225,0.98715,0.22795,0.91893
296,0.7198899999999999,2.6702,4.178,0.7359100000000001,1.4769,0.7755,1.1338,1.8052,0.1736,0.004155,5e-06,0.0,0.0,0.0,0.0,69.331,60.929,14.078,18.284,20.327,20.811,0.5977,0.22499,1.568,4.55,3.9243,5.0078,0.20634,0.9844,0.21892,0.90854
297,0.65349,2.7460000000000004,4.3852,0.7238899999999999,1.4494,0.77481,1.1676,1.8972,0.17257,0.003754,4e-06,0.0,0.0,0.0,0.0,72.32,65.556,32.617,19.707,21.191,25.949,0.4623600000000001,0.14674,0.29094000000000003,3.9734,3.6037,2.11,0.17265999999999998,0.98772,0.22301,0.92099
298,0.82114,2.4976,3.912,0.76867,1.5634,0.77735,1.1045,1.6824,0.17712,0.005516,0.0,0.0,0.0,0.0,0.0,70.634,66.336,25.467,16.368,16.916,21.898000000000003,0.93477,0.53761,0.60963,5.8056,5.0571,2.7941,0.21872,0.98268,0.21481,0.90292
