roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
0.32305276,0.389844242,0.38305662,0.779403977,0.110823038,0.927456885,0.409583771,0.367362564,0.055373424,0.023114717,0.006022997,0.00761347,0.814814815,0.502691066,0.125,0.593764379,0.721750481,0.219180592,0.485179007,0.398162205,0.673374039,0.324641906,0.426123576,0.07943757,0.108311284,0.1951131,0.002986312,0.286423191,0.779520295,0.304946077,0.668169829
0.500542058,0.36613547,0.233014049,0.679240606,0.070193144,0.989825714,0.305701294,0.240671737,0.02232645,0.01020238,0.000109509,0,0.814814815,0.501973448,0.125,0.600003681,0.733615085,0.016139875,0.474143462,0.400159808,0.143317033,0.086830298,0.208040201,0.325347095,0.123176487,0.211110439,0.090959927,0.252134838,0.765375154,0.455559688,0.717604016
0.450241841,0.342816842,0.269646658,0.734910709,0.089838176,0.96746966,0.371458552,0.267367669,0.036492857,0.015815161,0.003905822,0.000878477,0.814814815,0.501973448,0.125,0.714501316,0.784576015,0.574681801,0.340112922,0.24970036,0.767962899,0.197236618,0.269697077,0.028014362,0.153291261,0.313883513,0.000222451,0.201615516,0.80196802,0.505227057,0.77027142
0.390990716,0.352120285,0.318241805,0.768948228,0.105341918,0.964549685,0.395243092,0.309938237,0.046998014,0.020770883,0.00146012,0.000878477,0.814814815,0.501973448,0.125,0.654795428,0.703397826,0.418325432,0.505261132,0.500599281,0.793311489,0.201051489,0.257205039,0.044389454,0.075926058,0.173188581,0.000564894,0.241520956,0.813345633,0.356224949,0.735727048
0.432034247,0.352150296,0.28388676,0.734910709,0.089838176,0.978647687,0.391745366,0.283854831,0.035176721,0.015713823,0.000328527,0.000292826,0.814814815,0.501973448,0.125,0.631605102,0.79576855,0.047469297,0.436738098,0.30019976,0.266267257,0.189588882,0.353307028,0.189569027,0.125062572,0.202355752,0.028268876,0.263679158,0.745387454,0.473699434,0.713945376
0.38911436,0.352030251,0.3198808,0.76061067,0.101235427,0.965735925,0.431269675,0.313766525,0.044078585,0.019401194,0.000985581,0.000878477,0.814814815,0.501973448,0.125,0.548727293,0.667545526,0.121045816,0.427499038,0.35669197,0.46163875,0.279910147,0.380883644,0.105824203,0.120834525,0.22255655,0.006647192,0.306169147,0.773677737,0.307094748,0.653790522
0.395090899,0.346628252,0.31464453,0.787617599,0.115399339,0.977780819,0.34347674,0.303506712,0.052382206,0.024056174,0.001168096,0.001171303,0.814814815,0.501973448,0.125,0.744022969,0.841171985,0.317690318,0.467278327,0.371314423,0.687979109,0.148965906,0.25168094,0.055676408,0.118948441,0.228529092,0.001210096,0.181145886,0.815805658,0.465724557,0.793074109
0.385820315,0.343597131,0.322796935,0.787380993,0.115260136,0.971074003,0.381252186,0.310857026,0.053100098,0.02409867,0.000839569,0.000878477,0.814814815,0.501973448,0.125,0.723262106,0.783671307,0.51254428,0.381496215,0.30563324,0.779547549,0.22145205,0.299062212,0.035448372,0.105406178,0.218277489,0.000379097,0.208990096,0.806888069,0.447378208,0.762869055
0.397384222,0.368236247,0.312664964,0.72877021,0.087367322,0.976229583,0.448058762,0.314379052,0.033908445,0.015001193,0.000949078,0.000292826,0.814814815,0.501973448,0.125,0.820440616,0.809184082,0.462457308,0.378031567,0.347103476,0.789067608,0.178201252,0.261034043,0.040309677,0.110706879,0.250937462,0.00045825,0.187417725,0.81795818,0.450601215,0.781502595
0.356132207,0.337895021,0.350106428,0.815075207,0.132869323,0.955835386,0.374956278,0.327191057,0.067912609,0.030862119,0.000255521,0.000585652,0.814814815,0.501973448,0.125,0.672813944,0.743967534,0.198929254,0.417169254,0.375789053,0.580543905,0.225123863,0.328972326,0.080496124,0.104521239,0.198273255,0.003366636,0.204854817,0.835793358,0.455353085,0.768910066
0.285275477,0.403739384,0.424372073,0.811582446,0.13043327,0.969020896,0.384050367,0.406104844,0.064394936,0.029701643,0.002591714,0.002635432,0.814814815,0.502332257,0.125,0.740838901,0.757072881,0.58939911,0.467791608,0.425089892,0.92399246,0.286394227,0.369066813,0.035500173,0.069543764,0.154242772,0.000250447,0.238936406,0.790897909,0.337548035,0.722709096
0.359676433,0.382221422,0.346743295,0.775392936,0.108665391,0.97887581,0.360265827,0.339952019,0.047548398,0.021718877,0.001350611,0.000878477,0.814814815,0.501973448,0.125,0.843888613,0.885153736,0.818179077,0.377389965,0.267279265,0.736114669,0.164834209,0.230154293,0.013788552,0.161300415,0.320581831,0.000542815,0.199375573,0.772140221,0.397586877,0.767463626
0.504086285,0.38678311,0.230566198,0.703205453,0.077936315,0.994798796,0.163693599,0.235924659,0.026131279,0.012196438,0.000146012,0,0.814814815,0.501973448,0.125,0.495095062,0.666408179,0.064482426,0.484537405,0.328326009,0.332754738,0.198160345,0.342821148,0.155656685,0.150761585,0.233443208,0.016999135,0.384291454,0.656826568,0.284905582,0.575512635
