roundness,perimeter_ratio_to_diameter,compactness,eccentricity,aspect_ratio,rectangularity,narrow_factor,perimeter_ratio_major_minor,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu7,mean_R,mean_G,mean_B,std_R,std_G,std_B,skewness_R,skewness_G,skewness_B,kurtosis_R,kurtosis_G,kurtosis_B,contrast,correlation,energy,homogeneity
0.638002016,0.677925576,0.667532059,0.188325462,0.872623906,0.05742393,0.59470305,0.670297381,0.938374022,0.972028761,0.991078765,0.996759559,0.761904762,0.835616438,0.5,0.267917362,0.195629032,0.577922632,0.501434034,0.533548434,0.184684736,0.794157244,0.846037899,0.938307599,0.916377705,0.769616076,0.999102396,0.83012307,0.239072257,0.605020492,0.202815376
0.560844116,0.738663222,0.732279128,0.188697409,0.872868055,0.024250744,0.544542536,0.737879325,0.941004977,0.972431805,0.999647846,1,0.761904762,0.83630137,0.5,0.281938873,0.092709677,0.929235662,0.523490849,0.641343404,0.727351509,0.905856332,0.873522589,0.832342385,0.854925191,0.742626477,0.976977234,0.866984284,0.225691347,0.439805328,0.150081213
0.545342519,0.71912274,0.743942255,0.197241248,0.878466046,0.06482117,0.672953451,0.751659152,0.942047879,0.974092345,0.987791994,0.996111471,0.761904762,0.835616438,0.5,0.297486777,0.241274194,0.30662357,0.566443595,0.604678448,0.173168071,0.785354644,0.799804847,0.961407864,0.873378604,0.722384278,0.999702822,0.821600245,0.259143622,0.555788934,0.203681646
0.493726545,0.645330622,0.780033042,0.318747545,0.931498727,0.010371387,0.742375602,0.763868484,0.979355297,0.990504288,0.999647846,1,0.761904762,0.83630137,0.5,0.543431188,0.418790323,0.982718378,0.60939634,0.65314952,0.867752198,0.781436563,0.683159126,0.631062777,0.846938612,0.742346563,0.874010969,0.713402993,0.318465656,0.686680328,0.328857607
0.64732818,0.744187325,0.658838801,0.136657663,0.828502668,0.089758255,0.533306581,0.687978114,0.901493245,0.95349842,0.98767461,0.99125081,0.761904762,0.834246575,0.5,0.3950339,0.30683871,0.626020447,0.559000273,0.606731686,0.259372019,0.780324466,0.73102668,0.934143639,0.909819881,0.843734347,0.998707335,0.748389186,0.267618198,0.630788934,0.297238766
0.547723072,0.741246633,0.742172134,0.178665783,0.865805169,0.038968962,0.632423756,0.753533614,0.934723868,0.969658864,0.997065383,0.999351912,0.761904762,0.83630137,0.5,0.316726421,0.291096774,0.721510015,0.661363016,0.671628657,0.419389047,0.878766623,0.882858803,0.923575525,0.828950748,0.627537641,0.997286993,0.813929704,0.25646744,0.464344262,0.206063887
0.518050188,0.643296872,0.763511919,0.294899186,0.923825468,0.042858232,0.757223114,0.751253863,0.972955677,0.988447153,0.998826153,0.999675956,0.761904762,0.83630137,0.5,0.278477867,0.179258065,0.964797663,0.671742693,0.640683435,0.810237289,0.672188502,0.633480521,0.729185507,0.862373981,0.802955302,0.928369327,0.816401323,0.327832293,0.368903689,0.181700054
0.557567356,0.640108833,0.734776965,0.304613564,0.927069164,0.012430413,0.605537721,0.714929834,0.976842854,0.989398336,0.999530461,1,0.761904762,0.83630137,0.5,0.321536332,0.338209677,0.710148831,0.689975417,0.625870793,0.382292462,0.798275287,0.806927554,0.923370563,0.922036538,0.776864374,0.99747095,0.805236423,0.255129349,0.526485656,0.22133189
0.56573125,0.688149288,0.728502872,0.233527949,0.898678107,0.058262793,0.602728732,0.72460611,0.956435174,0.98101825,0.995421998,0.998703824,0.761904762,0.83630137,0.5,0.388733094,0.369354839,0.661195184,0.527246654,0.515435946,0.280504909,0.808519484,0.795070297,0.928980042,0.88144545,0.761866879,0.998319889,0.746727236,0.260481713,0.674231557,0.291391446
0.475928415,0.790221514,0.791597829,0.170067246,0.859282899,0.048959048,0.639245586,0.811388622,0.929059019,0.967031018,0.997300153,0.999027868,0.761904762,0.83630137,0.5,0.328848816,0.271854839,0.583549734,0.599289812,0.638483537,0.280048803,0.883274976,0.891261015,0.942726502,0.856723175,0.692050443,0.999309196,0.788702144,0.272078501,0.54692623,0.245262588
0.590404974,0.662150278,0.708874203,0.227937806,0.895887831,0.041180508,0.661717496,0.702568519,0.955818914,0.980231508,0.99647846,0.999027868,0.761904762,0.83630137,0.5,0.336392034,0.251290323,0.839445942,0.582764272,0.662315759,0.510534138,0.691961331,0.589779902,0.888189062,0.904626597,0.827013171,0.992513159,0.742508438,0.335414808,0.538012295,0.289550623
0.548381224,0.709448689,0.741680434,0.202842331,0.881936451,0.060169298,0.68459069,0.74709965,0.944868452,0.975369188,0.992135227,0.996435515,0.761904762,0.835616438,0.5,0.262503993,0.208774194,0.617034201,0.712988255,0.741512063,0.371802035,0.742894679,0.704314629,0.939903064,0.806869261,0.641577536,0.998668822,0.834000955,0.263157895,0.393442623,0.174878181
